Activation,Architecture,Batch Size,Epochs,Accuracy,Precision,Recall,F1 Score
logistic,"(5,)",10,1000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,2000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,3000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,4000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,5000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",50,1000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,2000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,3000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,4000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,5000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",100,1000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,2000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,3000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,4000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,5000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",200,1000,0.8155555555555556,0.8072029828683633,0.8155555555555556,0.8039581733843089
logistic,"(5,)",200,2000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(5,)",200,3000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(5,)",200,4000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(5,)",200,5000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(10,)",10,1000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,2000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,3000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,4000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,5000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",50,1000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,2000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,3000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,4000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,5000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",100,1000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,2000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,3000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,4000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,5000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",200,1000,0.9177777777777778,0.9192195767195767,0.9177777777777778,0.9167469226176537
logistic,"(10,)",200,2000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(10,)",200,3000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(10,)",200,4000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(10,)",200,5000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(5, 3)",10,1000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,2000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,3000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,4000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,5000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",50,1000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,2000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,3000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,4000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,5000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",100,1000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,2000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,3000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,4000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,5000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",200,1000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,2000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,3000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,4000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,5000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(10, 5)",10,1000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,2000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,3000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,4000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,5000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",50,1000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,2000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,3000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,4000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,5000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",100,1000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,2000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,3000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,4000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,5000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",200,1000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,2000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,3000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,4000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,5000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(15, 10, 5)",10,1000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",10,2000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",10,3000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",10,4000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",10,5000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",50,1000,0.9266666666666666,0.9269382103056384,0.9266666666666666,0.9259134991877946
logistic,"(15, 10, 5)",50,2000,0.9266666666666666,0.9269382103056384,0.9266666666666666,0.9259134991877946
logistic,"(15, 10, 5)",50,3000,0.9266666666666666,0.9269382103056384,0.9266666666666666,0.9259134991877946
logistic,"(15, 10, 5)",50,4000,0.9266666666666666,0.9269382103056384,0.9266666666666666,0.9259134991877946
logistic,"(15, 10, 5)",50,5000,0.9266666666666666,0.9269382103056384,0.9266666666666666,0.9259134991877946
logistic,"(15, 10, 5)",100,1000,0.9244444444444444,0.924897176290619,0.9244444444444444,0.9235872896886433
logistic,"(15, 10, 5)",100,2000,0.9244444444444444,0.924897176290619,0.9244444444444444,0.9235872896886433
logistic,"(15, 10, 5)",100,3000,0.9244444444444444,0.924897176290619,0.9244444444444444,0.9235872896886433
logistic,"(15, 10, 5)",100,4000,0.9244444444444444,0.924897176290619,0.9244444444444444,0.9235872896886433
logistic,"(15, 10, 5)",100,5000,0.9244444444444444,0.924897176290619,0.9244444444444444,0.9235872896886433
logistic,"(15, 10, 5)",200,1000,0.9155555555555556,0.9152846683893195,0.9155555555555556,0.9153140385853121
logistic,"(15, 10, 5)",200,2000,0.9155555555555556,0.9152846683893195,0.9155555555555556,0.9153140385853121
logistic,"(15, 10, 5)",200,3000,0.9155555555555556,0.9152846683893195,0.9155555555555556,0.9153140385853121
logistic,"(15, 10, 5)",200,4000,0.9155555555555556,0.9152846683893195,0.9155555555555556,0.9153140385853121
logistic,"(15, 10, 5)",200,5000,0.9155555555555556,0.9152846683893195,0.9155555555555556,0.9153140385853121
logistic,"(20, 15, 10)",10,1000,0.9066666666666666,0.9114808362369339,0.9066666666666666,0.9075707097029176
logistic,"(20, 15, 10)",10,2000,0.9066666666666666,0.9114808362369339,0.9066666666666666,0.9075707097029176
logistic,"(20, 15, 10)",10,3000,0.9066666666666666,0.9114808362369339,0.9066666666666666,0.9075707097029176
logistic,"(20, 15, 10)",10,4000,0.9066666666666666,0.9114808362369339,0.9066666666666666,0.9075707097029176
logistic,"(20, 15, 10)",10,5000,0.9066666666666666,0.9114808362369339,0.9066666666666666,0.9075707097029176
logistic,"(20, 15, 10)",50,1000,0.9044444444444445,0.9077009170739821,0.9044444444444445,0.9051864244307761
logistic,"(20, 15, 10)",50,2000,0.9044444444444445,0.9077009170739821,0.9044444444444445,0.9051864244307761
logistic,"(20, 15, 10)",50,3000,0.9044444444444445,0.9077009170739821,0.9044444444444445,0.9051864244307761
logistic,"(20, 15, 10)",50,4000,0.9044444444444445,0.9077009170739821,0.9044444444444445,0.9051864244307761
logistic,"(20, 15, 10)",50,5000,0.9044444444444445,0.9077009170739821,0.9044444444444445,0.9051864244307761
logistic,"(20, 15, 10)",100,1000,0.9177777777777778,0.9184555925332457,0.9177777777777778,0.9165833574753269
logistic,"(20, 15, 10)",100,2000,0.9177777777777778,0.9184555925332457,0.9177777777777778,0.9165833574753269
logistic,"(20, 15, 10)",100,3000,0.9177777777777778,0.9184555925332457,0.9177777777777778,0.9165833574753269
logistic,"(20, 15, 10)",100,4000,0.9177777777777778,0.9184555925332457,0.9177777777777778,0.9165833574753269
logistic,"(20, 15, 10)",100,5000,0.9177777777777778,0.9184555925332457,0.9177777777777778,0.9165833574753269
logistic,"(20, 15, 10)",200,1000,0.9066666666666666,0.909432597224805,0.9066666666666666,0.9045742196334268
logistic,"(20, 15, 10)",200,2000,0.9066666666666666,0.909432597224805,0.9066666666666666,0.9045742196334268
logistic,"(20, 15, 10)",200,3000,0.9066666666666666,0.909432597224805,0.9066666666666666,0.9045742196334268
logistic,"(20, 15, 10)",200,4000,0.9066666666666666,0.909432597224805,0.9066666666666666,0.9045742196334268
logistic,"(20, 15, 10)",200,5000,0.9066666666666666,0.909432597224805,0.9066666666666666,0.9045742196334268
tanh,"(5,)",10,1000,0.8133333333333334,0.8186290844957511,0.8133333333333334,0.8088209104057185
tanh,"(5,)",10,2000,0.8133333333333334,0.8186290844957511,0.8133333333333334,0.8088209104057185
tanh,"(5,)",10,3000,0.8133333333333334,0.8186290844957511,0.8133333333333334,0.8088209104057185
tanh,"(5,)",10,4000,0.8133333333333334,0.8186290844957511,0.8133333333333334,0.8088209104057185
tanh,"(5,)",10,5000,0.8133333333333334,0.8186290844957511,0.8133333333333334,0.8088209104057185
tanh,"(5,)",50,1000,0.7933333333333333,0.7769555216175905,0.7933333333333333,0.7841274623300415
tanh,"(5,)",50,2000,0.7933333333333333,0.7769555216175905,0.7933333333333333,0.7841274623300415
tanh,"(5,)",50,3000,0.7933333333333333,0.7769555216175905,0.7933333333333333,0.7841274623300415
tanh,"(5,)",50,4000,0.7933333333333333,0.7769555216175905,0.7933333333333333,0.7841274623300415
tanh,"(5,)",50,5000,0.7933333333333333,0.7769555216175905,0.7933333333333333,0.7841274623300415
tanh,"(5,)",100,1000,0.8777777777777778,0.875156043707873,0.8777777777777778,0.8741013067154146
tanh,"(5,)",100,2000,0.8777777777777778,0.875156043707873,0.8777777777777778,0.8741013067154146
tanh,"(5,)",100,3000,0.8777777777777778,0.875156043707873,0.8777777777777778,0.8741013067154146
tanh,"(5,)",100,4000,0.8777777777777778,0.875156043707873,0.8777777777777778,0.8741013067154146
tanh,"(5,)",100,5000,0.8777777777777778,0.875156043707873,0.8777777777777778,0.8741013067154146
tanh,"(5,)",200,1000,0.8244444444444444,0.8101818220401108,0.8244444444444444,0.8161007179607489
tanh,"(5,)",200,2000,0.8244444444444444,0.8101818220401108,0.8244444444444444,0.8161007179607489
tanh,"(5,)",200,3000,0.8244444444444444,0.8101818220401108,0.8244444444444444,0.8161007179607489
tanh,"(5,)",200,4000,0.8244444444444444,0.8101818220401108,0.8244444444444444,0.8161007179607489
tanh,"(5,)",200,5000,0.8244444444444444,0.8101818220401108,0.8244444444444444,0.8161007179607489
tanh,"(10,)",10,1000,0.9111111111111111,0.9180185985982103,0.9111111111111111,0.9104521268949227
tanh,"(10,)",10,2000,0.9111111111111111,0.9180185985982103,0.9111111111111111,0.9104521268949227
tanh,"(10,)",10,3000,0.9111111111111111,0.9180185985982103,0.9111111111111111,0.9104521268949227
tanh,"(10,)",10,4000,0.9111111111111111,0.9180185985982103,0.9111111111111111,0.9104521268949227
tanh,"(10,)",10,5000,0.9111111111111111,0.9180185985982103,0.9111111111111111,0.9104521268949227
tanh,"(10,)",50,1000,0.9266666666666666,0.9267923044424947,0.9266666666666666,0.9263048273529796
tanh,"(10,)",50,2000,0.9266666666666666,0.9267923044424947,0.9266666666666666,0.9263048273529796
tanh,"(10,)",50,3000,0.9266666666666666,0.9267923044424947,0.9266666666666666,0.9263048273529796
tanh,"(10,)",50,4000,0.9266666666666666,0.9267923044424947,0.9266666666666666,0.9263048273529796
tanh,"(10,)",50,5000,0.9266666666666666,0.9267923044424947,0.9266666666666666,0.9263048273529796
tanh,"(10,)",100,1000,0.9177777777777778,0.9179633140823072,0.9177777777777778,0.9173772116103827
tanh,"(10,)",100,2000,0.9177777777777778,0.9179633140823072,0.9177777777777778,0.9173772116103827
tanh,"(10,)",100,3000,0.9177777777777778,0.9179633140823072,0.9177777777777778,0.9173772116103827
tanh,"(10,)",100,4000,0.9177777777777778,0.9179633140823072,0.9177777777777778,0.9173772116103827
tanh,"(10,)",100,5000,0.9177777777777778,0.9179633140823072,0.9177777777777778,0.9173772116103827
tanh,"(10,)",200,1000,0.9088888888888889,0.9089674396565892,0.9088888888888889,0.9087049266367376
tanh,"(10,)",200,2000,0.9088888888888889,0.9089674396565892,0.9088888888888889,0.9087049266367376
tanh,"(10,)",200,3000,0.9088888888888889,0.9089674396565892,0.9088888888888889,0.9087049266367376
tanh,"(10,)",200,4000,0.9088888888888889,0.9089674396565892,0.9088888888888889,0.9087049266367376
tanh,"(10,)",200,5000,0.9088888888888889,0.9089674396565892,0.9088888888888889,0.9087049266367376
tanh,"(5, 3)",10,1000,0.7911111111111111,0.7925644315411758,0.7911111111111111,0.790327277102063
tanh,"(5, 3)",10,2000,0.7911111111111111,0.7925644315411758,0.7911111111111111,0.790327277102063
tanh,"(5, 3)",10,3000,0.7911111111111111,0.7925644315411758,0.7911111111111111,0.790327277102063
tanh,"(5, 3)",10,4000,0.7911111111111111,0.7925644315411758,0.7911111111111111,0.790327277102063
tanh,"(5, 3)",10,5000,0.7911111111111111,0.7925644315411758,0.7911111111111111,0.790327277102063
tanh,"(5, 3)",50,1000,0.8622222222222222,0.8471124697830504,0.8622222222222222,0.8534950999024399
tanh,"(5, 3)",50,2000,0.8622222222222222,0.8471124697830504,0.8622222222222222,0.8534950999024399
tanh,"(5, 3)",50,3000,0.8622222222222222,0.8471124697830504,0.8622222222222222,0.8534950999024399
tanh,"(5, 3)",50,4000,0.8622222222222222,0.8471124697830504,0.8622222222222222,0.8534950999024399
tanh,"(5, 3)",50,5000,0.8622222222222222,0.8471124697830504,0.8622222222222222,0.8534950999024399
tanh,"(5, 3)",100,1000,0.8644444444444445,0.8469203502747139,0.8644444444444445,0.8553495219118581
tanh,"(5, 3)",100,2000,0.8644444444444445,0.8469203502747139,0.8644444444444445,0.8553495219118581
tanh,"(5, 3)",100,3000,0.8644444444444445,0.8469203502747139,0.8644444444444445,0.8553495219118581
tanh,"(5, 3)",100,4000,0.8644444444444445,0.8469203502747139,0.8644444444444445,0.8553495219118581
tanh,"(5, 3)",100,5000,0.8644444444444445,0.8469203502747139,0.8644444444444445,0.8553495219118581
tanh,"(5, 3)",200,1000,0.8688888888888889,0.8520222576025939,0.8688888888888889,0.8590450388130116
tanh,"(5, 3)",200,2000,0.8688888888888889,0.8520222576025939,0.8688888888888889,0.8590450388130116
tanh,"(5, 3)",200,3000,0.8688888888888889,0.8520222576025939,0.8688888888888889,0.8590450388130116
tanh,"(5, 3)",200,4000,0.8688888888888889,0.8520222576025939,0.8688888888888889,0.8590450388130116
tanh,"(5, 3)",200,5000,0.8688888888888889,0.8520222576025939,0.8688888888888889,0.8590450388130116
tanh,"(10, 5)",10,1000,0.9066666666666666,0.9117697111631539,0.9066666666666666,0.9078233513892119
tanh,"(10, 5)",10,2000,0.9066666666666666,0.9117697111631539,0.9066666666666666,0.9078233513892119
tanh,"(10, 5)",10,3000,0.9066666666666666,0.9117697111631539,0.9066666666666666,0.9078233513892119
tanh,"(10, 5)",10,4000,0.9066666666666666,0.9117697111631539,0.9066666666666666,0.9078233513892119
tanh,"(10, 5)",10,5000,0.9066666666666666,0.9117697111631539,0.9066666666666666,0.9078233513892119
tanh,"(10, 5)",50,1000,0.9133333333333333,0.914221428150046,0.9133333333333333,0.9124771577700868
tanh,"(10, 5)",50,2000,0.9133333333333333,0.914221428150046,0.9133333333333333,0.9124771577700868
tanh,"(10, 5)",50,3000,0.9133333333333333,0.914221428150046,0.9133333333333333,0.9124771577700868
tanh,"(10, 5)",50,4000,0.9133333333333333,0.914221428150046,0.9133333333333333,0.9124771577700868
tanh,"(10, 5)",50,5000,0.9133333333333333,0.914221428150046,0.9133333333333333,0.9124771577700868
tanh,"(10, 5)",100,1000,0.9244444444444444,0.9246117993244349,0.9244444444444444,0.9243292597640657
tanh,"(10, 5)",100,2000,0.9244444444444444,0.9246117993244349,0.9244444444444444,0.9243292597640657
tanh,"(10, 5)",100,3000,0.9244444444444444,0.9246117993244349,0.9244444444444444,0.9243292597640657
tanh,"(10, 5)",100,4000,0.9244444444444444,0.9246117993244349,0.9244444444444444,0.9243292597640657
tanh,"(10, 5)",100,5000,0.9244444444444444,0.9246117993244349,0.9244444444444444,0.9243292597640657
tanh,"(10, 5)",200,1000,0.8933333333333333,0.895781240202293,0.8933333333333333,0.8939249561338223
tanh,"(10, 5)",200,2000,0.8933333333333333,0.895781240202293,0.8933333333333333,0.8939249561338223
tanh,"(10, 5)",200,3000,0.8933333333333333,0.895781240202293,0.8933333333333333,0.8939249561338223
tanh,"(10, 5)",200,4000,0.8933333333333333,0.895781240202293,0.8933333333333333,0.8939249561338223
tanh,"(10, 5)",200,5000,0.8933333333333333,0.895781240202293,0.8933333333333333,0.8939249561338223
tanh,"(15, 10, 5)",10,1000,0.8755555555555555,0.8824098429188755,0.8755555555555555,0.8752479486751811
tanh,"(15, 10, 5)",10,2000,0.8755555555555555,0.8824098429188755,0.8755555555555555,0.8752479486751811
tanh,"(15, 10, 5)",10,3000,0.8755555555555555,0.8824098429188755,0.8755555555555555,0.8752479486751811
tanh,"(15, 10, 5)",10,4000,0.8755555555555555,0.8824098429188755,0.8755555555555555,0.8752479486751811
tanh,"(15, 10, 5)",10,5000,0.8755555555555555,0.8824098429188755,0.8755555555555555,0.8752479486751811
tanh,"(15, 10, 5)",50,1000,0.9244444444444444,0.9247997030829128,0.9244444444444444,0.9238067029684056
tanh,"(15, 10, 5)",50,2000,0.9244444444444444,0.9247997030829128,0.9244444444444444,0.9238067029684056
tanh,"(15, 10, 5)",50,3000,0.9244444444444444,0.9247997030829128,0.9244444444444444,0.9238067029684056
tanh,"(15, 10, 5)",50,4000,0.9244444444444444,0.9247997030829128,0.9244444444444444,0.9238067029684056
tanh,"(15, 10, 5)",50,5000,0.9244444444444444,0.9247997030829128,0.9244444444444444,0.9238067029684056
tanh,"(15, 10, 5)",100,1000,0.9044444444444445,0.9058834398737781,0.9044444444444445,0.9034065688853418
tanh,"(15, 10, 5)",100,2000,0.9044444444444445,0.9058834398737781,0.9044444444444445,0.9034065688853418
tanh,"(15, 10, 5)",100,3000,0.9044444444444445,0.9058834398737781,0.9044444444444445,0.9034065688853418
tanh,"(15, 10, 5)",100,4000,0.9044444444444445,0.9058834398737781,0.9044444444444445,0.9034065688853418
tanh,"(15, 10, 5)",100,5000,0.9044444444444445,0.9058834398737781,0.9044444444444445,0.9034065688853418
tanh,"(15, 10, 5)",200,1000,0.9,0.9012936453287977,0.9,0.898985945709309
tanh,"(15, 10, 5)",200,2000,0.9,0.9012936453287977,0.9,0.898985945709309
tanh,"(15, 10, 5)",200,3000,0.9,0.9012936453287977,0.9,0.898985945709309
tanh,"(15, 10, 5)",200,4000,0.9,0.9012936453287977,0.9,0.898985945709309
tanh,"(15, 10, 5)",200,5000,0.9,0.9012936453287977,0.9,0.898985945709309
tanh,"(20, 15, 10)",10,1000,0.8977777777777778,0.9029951186506211,0.8977777777777778,0.8986572892925582
tanh,"(20, 15, 10)",10,2000,0.8977777777777778,0.9029951186506211,0.8977777777777778,0.8986572892925582
tanh,"(20, 15, 10)",10,3000,0.8977777777777778,0.9029951186506211,0.8977777777777778,0.8986572892925582
tanh,"(20, 15, 10)",10,4000,0.8977777777777778,0.9029951186506211,0.8977777777777778,0.8986572892925582
tanh,"(20, 15, 10)",10,5000,0.8977777777777778,0.9029951186506211,0.8977777777777778,0.8986572892925582
tanh,"(20, 15, 10)",50,1000,0.9111111111111111,0.9122349076015218,0.9111111111111111,0.9105986000860663
tanh,"(20, 15, 10)",50,2000,0.9111111111111111,0.9122349076015218,0.9111111111111111,0.9105986000860663
tanh,"(20, 15, 10)",50,3000,0.9111111111111111,0.9122349076015218,0.9111111111111111,0.9105986000860663
tanh,"(20, 15, 10)",50,4000,0.9111111111111111,0.9122349076015218,0.9111111111111111,0.9105986000860663
tanh,"(20, 15, 10)",50,5000,0.9111111111111111,0.9122349076015218,0.9111111111111111,0.9105986000860663
tanh,"(20, 15, 10)",100,1000,0.8955555555555555,0.897416679938419,0.8955555555555555,0.8941840842030264
tanh,"(20, 15, 10)",100,2000,0.8955555555555555,0.897416679938419,0.8955555555555555,0.8941840842030264
tanh,"(20, 15, 10)",100,3000,0.8955555555555555,0.897416679938419,0.8955555555555555,0.8941840842030264
tanh,"(20, 15, 10)",100,4000,0.8955555555555555,0.897416679938419,0.8955555555555555,0.8941840842030264
tanh,"(20, 15, 10)",100,5000,0.8955555555555555,0.897416679938419,0.8955555555555555,0.8941840842030264
